"cell_id";"environmental_factor";"value"
1;"elevation";15,5020952224731
1;"humidity_meanAnn";81,0077386886354
1;"precip_ann";1027,67712402344
1;"precip_driestQtr";179,085322425479
1;"precip_seasonality";29,9212950751895
1;"precip_wettestQtr";384,920404585581
1;"slope_deg";13,3307194709778
1;"temp_meanAnn";15,817154997871
1;"temp_meanColdQtr";12,9010454435197
1;"temp_meanWarmQtr";19,3192795647515
1;"temp_seasonality";2,59999990463257
2;"elevation";87,4436694967691
2;"humidity_meanAnn";80,8165994524956
2;"precip_ann";1101,42820928126
2;"precip_driestQtr";206,504593502516
2;"precip_seasonality";28,7560097883589
2;"precip_wettestQtr";427,517823587111
2;"slope_deg";14,1632240771511
2;"temp_meanAnn";15,5425561820467
2;"temp_meanColdQtr";12,5481934850306
2;"temp_meanWarmQtr";19,0689196364578
2;"temp_seasonality";2,65699194490451
3;"elevation";94,3661231159526
3;"humidity_meanAnn";80,0483190931793
3;"precip_ann";1295,90661347218
3;"precip_driestQtr";230,027165151748
3;"precip_seasonality";28,6886046548349
3;"precip_wettestQtr";473,536827522552
3;"slope_deg";9,7788687619305
3;"temp_meanAnn";15,5387011188883
3;"temp_meanColdQtr";12,5034268035655
3;"temp_meanWarmQtr";19,127006204832
3;"temp_seasonality";2,70194657125472
4;"elevation";74,3213316373897
4;"humidity_meanAnn";80,0047977863984
4;"precip_ann";1263,38529454224
4;"precip_driestQtr";217,924742313495
4;"precip_seasonality";29,5393437793729
4;"precip_wettestQtr";460,418028342061
4;"slope_deg";7,64173045681487
4;"temp_meanAnn";15,6489984923693
4;"temp_meanColdQtr";12,6874536005826
4;"temp_meanWarmQtr";19,257706729406
4;"temp_seasonality";2,69583014585951
5;"elevation";99,9761695798395
5;"humidity_meanAnn";80
5;"precip_ann";1250,55072658268
5;"precip_driestQtr";208,386406766451
5;"precip_seasonality";30,2874943777231
5;"precip_wettestQtr";449,268444993239
5;"slope_deg";9,36920137599103
5;"temp_meanAnn";15,771438930218
5;"temp_meanColdQtr";12,8011888756385
5;"temp_meanWarmQtr";19,3862288947472
5;"temp_seasonality";2,69439943636381
6;"elevation";43,9895188074846
6;"humidity_meanAnn";NA
6;"precip_ann";1102,95036392761
6;"precip_driestQtr";NA
6;"precip_seasonality";NA
6;"precip_wettestQtr";NA
6;"slope_deg";6,22527248110417
6;"temp_meanAnn";NA
6;"temp_meanColdQtr";NA
6;"temp_meanWarmQtr";NA
6;"temp_seasonality";NA
7;"elevation";80,931271980086
7;"humidity_meanAnn";80,0065305450394
7;"precip_ann";1245,17974465349
7;"precip_driestQtr";219,784195698965
7;"precip_seasonality";28,9650253501174
7;"precip_wettestQtr";455,328686769768
7;"slope_deg";7,17908098687163
7;"temp_meanAnn";15,6567854132888
7;"temp_meanColdQtr";12,707027676216
7;"temp_meanWarmQtr";19,2186212496907
7;"temp_seasonality";2,66416024448982
8;"elevation";59,7127212420122
8;"humidity_meanAnn";79,9763919902853
8;"precip_ann";1344,91257216157
8;"precip_driestQtr";227,55600984148
8;"precip_seasonality";28,8414709161266
8;"precip_wettestQtr";468,706557086658
8;"slope_deg";6,39181537223552
8;"temp_meanAnn";15,5727980985916
8;"temp_meanColdQtr";12,5067801041814
8;"temp_meanWarmQtr";19,1378068509842
8;"temp_seasonality";2,70469980068957
9;"elevation";55,1975653375848
9;"humidity_meanAnn";80
9;"precip_ann";1277,59787737302
9;"precip_driestQtr";217,75530197889
9;"precip_seasonality";29,5999294633141
9;"precip_wettestQtr";456,269885143857
9;"slope_deg";5,65501949531086
9;"temp_meanAnn";15,7204597441987
9;"temp_meanColdQtr";12,7262848460044
9;"temp_meanWarmQtr";19,3250548356412
9;"temp_seasonality";2,70043474100536
10;"elevation";36,2783832929696
10;"humidity_meanAnn";80
10;"precip_ann";1233,56688053593
10;"precip_driestQtr";208,76807765592
10;"precip_seasonality";30,3439336032566
10;"precip_wettestQtr";444,32243644835
10;"slope_deg";8,14882928095046
10;"temp_meanAnn";15,8373996612267
10;"temp_meanColdQtr";12,8520121993415
10;"temp_meanWarmQtr";19,4663702993276
10;"temp_seasonality";2,70000004768372
11;"elevation";54,45507132165
11;"humidity_meanAnn";80
11;"precip_ann";1317,93380297256
11;"precip_driestQtr";214,915605830575
11;"precip_seasonality";29,4457741446124
11;"precip_wettestQtr";446,699457737357
11;"slope_deg";2,27987007562338
11;"temp_meanAnn";15,7666483462214
11;"temp_meanColdQtr";12,7892341259711
11;"temp_meanWarmQtr";19,3528577290609
11;"temp_seasonality";2,69975988251007
12;"elevation";32,1677906911144
12;"humidity_meanAnn";80
12;"precip_ann";1258,24042857948
12;"precip_driestQtr";218,600794963728
12;"precip_seasonality";29,0748260914782
12;"precip_wettestQtr";445,213390116512
12;"slope_deg";2,85184922399773
12;"temp_meanAnn";15,6098148786316
12;"temp_meanColdQtr";12,5163080323882
12;"temp_meanWarmQtr";19,2113330636092
12;"temp_seasonality";2,7359109583441
13;"elevation";23,8983052823602
13;"humidity_meanAnn";80
13;"precip_ann";1214,41986902749
13;"precip_driestQtr";207,975142419005
13;"precip_seasonality";30,3166999095933
13;"precip_wettestQtr";432,016785500701
13;"slope_deg";3,25445293071793
13;"temp_meanAnn";15,8019360096418
13;"temp_meanColdQtr";12,7041334812605
13;"temp_meanWarmQtr";19,4172475682999
13;"temp_seasonality";2,73935384234175
14;"elevation";28,8321832308946
14;"humidity_meanAnn";NA
14;"precip_ann";1245,55131411876
14;"precip_driestQtr";NA
14;"precip_seasonality";NA
14;"precip_wettestQtr";NA
14;"slope_deg";1,78256161868295
14;"temp_meanAnn";NA
14;"temp_meanColdQtr";NA
14;"temp_meanWarmQtr";NA
14;"temp_seasonality";NA
15;"elevation";56,2639026125077
15;"humidity_meanAnn";80
15;"precip_ann";1234,52273863596
15;"precip_driestQtr";211,06901246314
15;"precip_seasonality";29,3396430587769
15;"precip_wettestQtr";425,49032662186
15;"slope_deg";2,2924001039637
15;"temp_meanAnn";15,7499987474018
15;"temp_meanColdQtr";12,7279117737564
15;"temp_meanWarmQtr";19,3661488402124
15;"temp_seasonality";2,70991248701133
16;"elevation";23,642111968555
16;"humidity_meanAnn";80
16;"precip_ann";1178,50558184893
16;"precip_driestQtr";208,259468540518
16;"precip_seasonality";29,7444112485037
16;"precip_wettestQtr";420,977832665175
16;"slope_deg";0,944163846743505
16;"temp_meanAnn";15,7710288721734
16;"temp_meanColdQtr";12,6312946057768
16;"temp_meanWarmQtr";19,3895063734751
16;"temp_seasonality";2,76408412598369
17;"elevation";NA
17;"humidity_meanAnn";80
17;"precip_ann";NA
17;"precip_driestQtr";203,155364354452
17;"precip_seasonality";30,2033028685384
17;"precip_wettestQtr";416,770925707287
17;"slope_deg";NA
17;"temp_meanAnn";15,8869233164522
17;"temp_meanColdQtr";12,9025473284225
17;"temp_meanWarmQtr";19,5708818725414
17;"temp_seasonality";2,70120639333294
18;"elevation";36,5124946565225
18;"humidity_meanAnn";NA
18;"precip_ann";1180,44191871626
18;"precip_driestQtr";NA
18;"precip_seasonality";NA
18;"precip_wettestQtr";NA
18;"slope_deg";1,03675211466428
18;"temp_meanAnn";NA
18;"temp_meanColdQtr";NA
18;"temp_meanWarmQtr";NA
18;"temp_seasonality";NA
19;"elevation";36,5101450907101
19;"humidity_meanAnn";80
19;"precip_ann";1161,75657349492
19;"precip_driestQtr";207,783449903232
19;"precip_seasonality";28,9998746055649
19;"precip_wettestQtr";409,793470739866
19;"slope_deg";0,941984750390659
19;"temp_meanAnn";15,8108454658011
19;"temp_meanColdQtr";12,7523214706785
19;"temp_meanWarmQtr";19,4552586373278
19;"temp_seasonality";2,74530815847721
20;"elevation";23,128172552088
20;"humidity_meanAnn";80,0044746183406
20;"precip_ann";1150,57798416731
20;"precip_driestQtr";208,682307993865
20;"precip_seasonality";28,8156213306245
20;"precip_wettestQtr";409,957193453576
20;"slope_deg";2,26591907389266
20;"temp_meanAnn";15,8635094501134
20;"temp_meanColdQtr";12,8112794570232
20;"temp_meanWarmQtr";19,5400096325718
20;"temp_seasonality";2,75894385246438
21;"elevation";40,3688547588089
21;"humidity_meanAnn";80,0983537894029
21;"precip_ann";1263,23180917593
21;"precip_driestQtr";226,786251310755
21;"precip_seasonality";28,4403043794893
21;"precip_wettestQtr";452,473961581871
21;"slope_deg";5,57767955443034
21;"temp_meanAnn";15,900084065599
21;"temp_meanColdQtr";12,7131814031132
21;"temp_meanWarmQtr";19,6738314239835
21;"temp_seasonality";2,84275446490512
22;"elevation";NA
22;"humidity_meanAnn";80,4665069636802
22;"precip_ann";NA
22;"precip_driestQtr";233,765188632667
22;"precip_seasonality";28,3092170148091
22;"precip_wettestQtr";468,921102122481
22;"slope_deg";NA
22;"temp_meanAnn";15,7919234697704
22;"temp_meanColdQtr";12,6812471198327
22;"temp_meanWarmQtr";19,6319199274907
22;"temp_seasonality";2,84615849030505
23;"elevation";34,5611446224438
23;"humidity_meanAnn";80
23;"precip_ann";1148,34832045556
23;"precip_driestQtr";207,216576940363
23;"precip_seasonality";28,394651595029
23;"precip_wettestQtr";398,881489008123
23;"slope_deg";0,866715491560793
23;"temp_meanAnn";15,9358393323833
23;"temp_meanColdQtr";12,9772422530434
23;"temp_meanWarmQtr";19,6128803253174
23;"temp_seasonality";2,70000004768372
24;"elevation";25,6663766509533
24;"humidity_meanAnn";80,0972955726496
24;"precip_ann";1152,44726387535
24;"precip_driestQtr";216,258343010802
24;"precip_seasonality";27,2224406344937
24;"precip_wettestQtr";402,19465516911
24;"slope_deg";1,43350465268547
24;"temp_meanAnn";15,8609516593323
24;"temp_meanColdQtr";12,7725825265829
24;"temp_meanWarmQtr";19,5512811275372
24;"temp_seasonality";2,7747597136214
25;"elevation";15,324509350803
25;"humidity_meanAnn";80,0558031646919
25;"precip_ann";1222,758948413
25;"precip_driestQtr";217,93191879769
25;"precip_seasonality";27,5260170312173
25;"precip_wettestQtr";412,065579887793
25;"slope_deg";0,718505049813489
25;"temp_meanAnn";15,9912243598112
25;"temp_meanColdQtr";12,8924405425684
25;"temp_meanWarmQtr";19,7056178478784
25;"temp_seasonality";2,79404062490774
26;"elevation";30,3859215113825
26;"humidity_meanAnn";80,7100808595396
26;"precip_ann";1296,56249360076
26;"precip_driestQtr";240,376832909464
26;"precip_seasonality";27,166810003368
26;"precip_wettestQtr";459,235554202123
26;"slope_deg";2,84241111483972
26;"temp_meanAnn";15,9424420394005
