"generative.model";"replicate";"node_from";"node_to";"value"
"dd01";1;"sp01";"sp01";1
"dd01";1;"sp01";"sp02";0,196535171778137
"dd01";1;"sp01";"sp03";0
"dd01";1;"sp01";"sp04";0
"dd01";1;"sp01";"sp05";0
"dd01";1;"sp01";"sp06";0
"dd01";1;"sp01";"sp07";0
"dd01";1;"sp01";"sp08";0,280512795312016
"dd01";1;"sp01";"sp09";0,898313720689549
"dd01";1;"sp01";"sp10";0
"dd01";1;"sp01";"sp11";0
"dd01";1;"sp01";"sp12";0
"dd01";1;"sp01";"sp13";0
"dd01";1;"sp01";"sp14";0
"dd01";1;"sp01";"sp15";0
"dd01";1;"sp01";"sp16";0,332757054654624
"dd01";1;"sp01";"sp17";0
"dd01";1;"sp01";"sp18";0
"dd01";1;"sp01";"sp19";0
"dd01";1;"sp01";"sp20";0
"dd01";1;"sp01";"sp21";0
"dd01";1;"sp01";"sp22";0
"dd01";1;"sp01";"sp23";0
"dd01";1;"sp01";"sp24";0
"dd01";1;"sp01";"sp25";0
"dd01";1;"sp01";"sp26";0,469441537787334
"dd01";1;"sp01";"sp27";0
"dd01";1;"sp01";"sp28";0
"dd01";1;"sp01";"sp29";0
"dd01";1;"sp01";"sp30";0
"dd01";1;"sp02";"sp01";0,819951805691705
"dd01";1;"sp02";"sp02";1
"dd01";1;"sp02";"sp03";0,29735091390401
"dd01";1;"sp02";"sp04";0
"dd01";1;"sp02";"sp05";0
"dd01";1;"sp02";"sp06";0
"dd01";1;"sp02";"sp07";0
"dd01";1;"sp02";"sp08";0
"dd01";1;"sp02";"sp09";0
"dd01";1;"sp02";"sp10";0
"dd01";1;"sp02";"sp11";0
"dd01";1;"sp02";"sp12";0
"dd01";1;"sp02";"sp13";0
"dd01";1;"sp02";"sp14";0
"dd01";1;"sp02";"sp15";0
"dd01";1;"sp02";"sp16";0
"dd01";1;"sp02";"sp17";0
"dd01";1;"sp02";"sp18";0
"dd01";1;"sp02";"sp19";0,304684046884269
"dd01";1;"sp02";"sp20";0
"dd01";1;"sp02";"sp21";0
"dd01";1;"sp02";"sp22";0
"dd01";1;"sp02";"sp23";0
"dd01";1;"sp02";"sp24";0,115770620494453
"dd01";1;"sp02";"sp25";0
"dd01";1;"sp02";"sp26";0,298620283834742
"dd01";1;"sp02";"sp27";0
"dd01";1;"sp02";"sp28";0
"dd01";1;"sp02";"sp29";0
"dd01";1;"sp02";"sp30";1,03412505003303
"dd01";1;"sp03";"sp01";0
"dd01";1;"sp03";"sp02";0,657234903371377
"dd01";1;"sp03";"sp03";1
"dd01";1;"sp03";"sp04";0
"dd01";1;"sp03";"sp05";0
"dd01";1;"sp03";"sp06";0
"dd01";1;"sp03";"sp07";0
"dd01";1;"sp03";"sp08";0
"dd01";1;"sp03";"sp09";0
"dd01";1;"sp03";"sp10";0
"dd01";1;"sp03";"sp11";0
"dd01";1;"sp03";"sp12";0
"dd01";1;"sp03";"sp13";0
"dd01";1;"sp03";"sp14";0
"dd01";1;"sp03";"sp15";0
"dd01";1;"sp03";"sp16";0
"dd01";1;"sp03";"sp17";0
"dd01";1;"sp03";"sp18";0
"dd01";1;"sp03";"sp19";0
"dd01";1;"sp03";"sp20";0
"dd01";1;"sp03";"sp21";0
"dd01";1;"sp03";"sp22";0
"dd01";1;"sp03";"sp23";0
"dd01";1;"sp03";"sp24";0,683559558406611
"dd01";1;"sp03";"sp25";0
"dd01";1;"sp03";"sp26";0
"dd01";1;"sp03";"sp27";0
"dd01";1;"sp03";"sp28";0
"dd01";1;"sp03";"sp29";0
"dd01";1;"sp03";"sp30";0
"dd01";1;"sp04";"sp01";0
"dd01";1;"sp04";"sp02";0
"dd01";1;"sp04";"sp03";0
"dd01";1;"sp04";"sp04";1
"dd01";1;"sp04";"sp05";0
"dd01";1;"sp04";"sp06";0
"dd01";1;"sp04";"sp07";0
"dd01";1;"sp04";"sp08";0
"dd01";1;"sp04";"sp09";0
"dd01";1;"sp04";"sp10";0
"dd01";1;"sp04";"sp11";0
"dd01";1;"sp04";"sp12";0
"dd01";1;"sp04";"sp13";0,45361154271612
"dd01";1;"sp04";"sp14";0
"dd01";1;"sp04";"sp15";0
"dd01";1;"sp04";"sp16";0
"dd01";1;"sp04";"sp17";0
"dd01";1;"sp04";"sp18";0
"dd01";1;"sp04";"sp19";0
"dd01";1;"sp04";"sp20";0
"dd01";1;"sp04";"sp21";0,0934423662327814
"dd01";1;"sp04";"sp22";0
"dd01";1;"sp04";"sp23";0,791011176914868
"dd01";1;"sp04";"sp24";0
"dd01";1;"sp04";"sp25";0
"dd01";1;"sp04";"sp26";0
"dd01";1;"sp04";"sp27";0
"dd01";1;"sp04";"sp28";0
"dd01";1;"sp04";"sp29";0
"dd01";1;"sp04";"sp30";0
"dd01";1;"sp05";"sp01";0
"dd01";1;"sp05";"sp02";0
"dd01";1;"sp05";"sp03";0
"dd01";1;"sp05";"sp04";0
"dd01";1;"sp05";"sp05";1
"dd01";1;"sp05";"sp06";0
"dd01";1;"sp05";"sp07";0
"dd01";1;"sp05";"sp08";0
"dd01";1;"sp05";"sp09";0
"dd01";1;"sp05";"sp10";0
"dd01";1;"sp05";"sp11";0
"dd01";1;"sp05";"sp12";1,34682965665782
"dd01";1;"sp05";"sp13";0
"dd01";1;"sp05";"sp14";0
"dd01";1;"sp05";"sp15";0
"dd01";1;"sp05";"sp16";0
"dd01";1;"sp05";"sp17";0,248178754643293
"dd01";1;"sp05";"sp18";0
"dd01";1;"sp05";"sp19";0
"dd01";1;"sp05";"sp20";0,209534625428152
"dd01";1;"sp05";"sp21";0
"dd01";1;"sp05";"sp22";0
"dd01";1;"sp05";"sp23";0,199086044710233
"dd01";1;"sp05";"sp24";0
"dd01";1;"sp05";"sp25";0
"dd01";1;"sp05";"sp26";0
"dd01";1;"sp05";"sp27";0
"dd01";1;"sp05";"sp28";0
"dd01";1;"sp05";"sp29";0
"dd01";1;"sp05";"sp30";0
"dd01";1;"sp06";"sp01";0
"dd01";1;"sp06";"sp02";0
"dd01";1;"sp06";"sp03";0
"dd01";1;"sp06";"sp04";0
"dd01";1;"sp06";"sp05";0
"dd01";1;"sp06";"sp06";1
"dd01";1;"sp06";"sp07";0
"dd01";1;"sp06";"sp08";0
"dd01";1;"sp06";"sp09";0
"dd01";1;"sp06";"sp10";0
"dd01";1;"sp06";"sp11";0
"dd01";1;"sp06";"sp12";0
"dd01";1;"sp06";"sp13";0
"dd01";1;"sp06";"sp14";0,0923973026363112
"dd01";1;"sp06";"sp15";0
"dd01";1;"sp06";"sp16";0
"dd01";1;"sp06";"sp17";0
"dd01";1;"sp06";"sp18";0
"dd01";1;"sp06";"sp19";0
"dd01";1;"sp06";"sp20";0
"dd01";1;"sp06";"sp21";0
"dd01";1;"sp06";"sp22";0
"dd01";1;"sp06";"sp23";0
"dd01";1;"sp06";"sp24";0
"dd01";1;"sp06";"sp25";0
"dd01";1;"sp06";"sp26";0
"dd01";1;"sp06";"sp27";0
"dd01";1;"sp06";"sp28";0
"dd01";1;"sp06";"sp29";0
"dd01";1;"sp06";"sp30";0,805855902714458
"dd01";1;"sp07";"sp01";0
"dd01";1;"sp07";"sp02";0
"dd01";1;"sp07";"sp03";0
"dd01";1;"sp07";"sp04";0
"dd01";1;"sp07";"sp05";0
"dd01";1;"sp07";"sp06";0
"dd01";1;"sp07";"sp07";1
"dd01";1;"sp07";"sp08";0
"dd01";1;"sp07";"sp09";0
"dd01";1;"sp07";"sp10";0
"dd01";1;"sp07";"sp11";0
"dd01";1;"sp07";"sp12";0
"dd01";1;"sp07";"sp13";0
"dd01";1;"sp07";"sp14";0
"dd01";1;"sp07";"sp15";0
"dd01";1;"sp07";"sp16";0
"dd01";1;"sp07";"sp17";0
"dd01";1;"sp07";"sp18";0
"dd01";1;"sp07";"sp19";0
"dd01";1;"sp07";"sp20";0
"dd01";1;"sp07";"sp21";0
"dd01";1;"sp07";"sp22";0
"dd01";1;"sp07";"sp23";0
"dd01";1;"sp07";"sp24";0
"dd01";1;"sp07";"sp25";1,05529074621542
"dd01";1;"sp07";"sp26";0
"dd01";1;"sp07";"sp27";0
"dd01";1;"sp07";"sp28";0
"dd01";1;"sp07";"sp29";0
"dd01";1;"sp07";"sp30";0
"dd01";1;"sp08";"sp01";0,13596514027126
"dd01";1;"sp08";"sp02";0
"dd01";1;"sp08";"sp03";0
"dd01";1;"sp08";"sp04";0
"dd01";1;"sp08";"sp05";0
"dd01";1;"sp08";"sp06";0
"dd01";1;"sp08";"sp07";0
"dd01";1;"sp08";"sp08";1
"dd01";1;"sp08";"sp09";0,0641242505210622
"dd01";1;"sp08";"sp10";0
"dd01";1;"sp08";"sp11";0
"dd01";1;"sp08";"sp12";0
"dd01";1;"sp08";"sp13";0
"dd01";1;"sp08";"sp14";0
"dd01";1;"sp08";"sp15";0
"dd01";1;"sp08";"sp16";0,103537390966488
"dd01";1;"sp08";"sp17";0
"dd01";1;"sp08";"sp18";0
"dd01";1;"sp08";"sp19";0
