"cell_id";"Acanthis_flammea";"Acanthisitta_chloris";"Acridotheres_tristis";"Anas_chlorotis";"Anthornis_melanura";"Anthus_novaeseelandiae";"Astelia_banksii";"Branta_canadensis";"Carduelis_carduelis";"Carpodetus_serratus";"Chloris_chloris";"Coprosma_acerosa";"Coprosma_arborea";"Coprosma_crassifolia";"Coprosma_grandifolia";"Coprosma_lucida";"Coprosma_macrocarpa";"Coprosma_parviflora";"Coprosma_repens";"Coprosma_rhamnoides";"Coprosma_robusta";"Cordyline_australis";"Coriaria_arborea";"Corokia_cotoneaster";"Dacrydium_cupressinum";"Dysoxylum_spectabile";"Freycinetia_banksii";"Fringilla_coelebs";"Gaultheria_antipoda";"Geniostoma_ligustrifolium";"Gerygone_igata";"Hemiphaga_novaeseelandiae";"Knightia_excelsa";"Leptecophylla_juniperina";"Leptospermum_scoparium";"Leucopogon_fasciculatus";"Lophomyrtus_bullata";"Meleagris_gallopavo";"Melicytus_ramiflorus";"Muehlenbeckia_complexa";"Myrsine_australis";"Nestegis_lanceolata";"Parsonsia_heterophylla";"Passer_domesticus";"Petroica_australis";"Petroica_macrocephala";"Phasianus_colchicus";"Phormium_tenax";"Pittosporum_tenuifolium";"Platycercus_eximius";"Porphyrio_melanotus";"Prosthemadera_novaeseelandiae";"Pseudopanax_arboreus";"Pseudopanax_crassifolius";"Pseudopanax_lessonii";"Rhipidura_fuliginosa";"Rhopalostylis_sapida";"Rubus_australis";"Schefflera_digitata";"Solanum_mauritianum";"Sturnus_vulgaris";"Styphelia_nesophila";"Tadorna_variegata";"Toronia_toru";"Turdus_merula";"Turdus_philomelos";"Vitex_lucens";"Zosterops_lateralis";"Acer_pseudoplatanus";"Alectryon_excelsus";"Alseuosmia_macrophylla";"Archontophoenix_cunninghamiana";"Asparagus_asparagoides";"Asparagus_scandens";"Beilschmiedia_tarairi";"Beilschmiedia_tawa";"Berberis_glaucocarpa";"Callaeas_cinereus";"Cestrum_nocturnum";"Coprosma_areolata";"Coprosma_propinqua";"Coprosma_rigida";"Corynocarpus_laevigatus";"Cotoneaster_glaucophyllus";"Dacrycarpus_dacrydioides";"Elaeocarpus_dentatus";"Ficus_carica";"Fuchsia_excorticata";"Gallirallus_australis";"Griselinia_littoralis";"Griselinia_lucida";"Hedera_helix";"Hedycarya_arborea";"Hedychium_gardnerianum";"Ileostylus_micranthus";"Lantana_camara";"Leycesteria_formosa";"Ligustrum_lucidum";"Ligustrum_sinense";"Litsea_calicaris";"Lonicera_japonica";"Macropiper_excelsum";"Meryta_sinclairii";"Mida_salicifolia";"Muehlenbeckia_australis";"Myoporum_laetum";"Myrsine_divaricata";"Myrsine_salicina";"Neomyrtus_pedunculata";"Nestegis_cunninghamii";"Nestor_meridionalis";"Paratrophis_microphylla";"Passiflora_edulis";"Passiflora_tarminiana";"Phoenix_canariensis";"Phytolacca_icosandra";"Pisonia_brunoniana";"Pittosporum_crassifolium";"Pittosporum_eugenioides";"Planchonella_costata";"Podocarpus_cunninghamii";"Podocarpus_totara";"Prumnopitys_ferruginea";"Prumnopitys_taxifolia";"Prunus_domestica";"Prunus_persica";"Psidium_cattleianum";"Rhamnus_alaternus";"Rhaphiolepis_loquata";"Ripogonum_scandens";"Rubus_cissoides";"Rubus_fruticosus";"Solanum_nigrum";"Solanum_pseudocapsicum";"Syzygium_smithii";"Trachycarpus_fortunei";"Vitis_vinifera";"Chroicocephalus_novaehollandiae";"Cyanoramphus_novaezelandiae";"Ficus_macrophylla";"Mohoua_albicilla";"Olea_europaea";"Philesturnus_carunculatus";"Solanum_laciniatum";"Aristotelia_serrata";"Ascarina_lucida";"Astelia_nervosa";"Cacatua_galerita";"Cotoneaster_coriaceus";"Elaeocarpus_hookerianus";"Malus_domestica";"Metrosideros_umbellata";"Passiflora_tetrandra";"Pennantia_corymbosa";"Pseudowintera_axillaris";"Pseudowintera_colorata";"Raukaua_edgerleyi";"Rubus_squarrosus";"Solanum_aviculare";"Weinmannia_racemosa";"Alnus_glutinosa";"Coprosma_rotundifolia";"Cotoneaster_franchetii";"Crataegus_monogyna";"Geniostoma_rupestre";"Gunnera_tinctoria";"Ilex_aquifolium";"Laurus_nobilis";"Lophomyrtus_obcordata";"Lycium_ferocissimum";"Notiomystis_cincta";"Passiflora_tripartita";"Plagianthus_regius";"Prunus_cerasifera";"Prunus_laurocerasus";"Syzygium_australe";"Arbutus_unedo";"Astelia_fragrans";"Corokia_macrocarpa";"Cyanoramphus_auriceps";"Dracaena_draco";"Fragaria_ananassa";"Isolepis_habra";"Ligustrum_ovalifolium";"Muehlenbeckia_astonii";"Muehlenbeckia_axillaris";"Myrsine_chathamica";"Phormium_colensoi";"Phyllocladus_trichomanoides";"Prunus_avium";"Pyrus_communis";"Rosa_rubiginosa";"Sambucus_nigra";"Coprosma_foetidissima";"Lepidothamnus_intermedius";"Neopanax_colensoi";"Raukaua_simplex";"Coprosma_colensoi";"Coprosma_tenuifolia";"Euonymus_europaeus";"Luzuriaga_parviflora";"Melicytus_lanceolatus";"Actinidia_chinensis";"Cyanoramphus_malherbi";"Fuchsia_perscandens";"Halocarpus_biformis";"Hymenolaimus_malacorhynchos";"Mohoua_ochrocephala";"Pentachondra_pumila";"Podocarpus_nivalis";"Androstoma_empetrifolia";"Aristotelia_fruticosa";"Berberis_darwinii";"Coprosma_cheesemanii";"Coprosma_rugosa";"Gaultheria_depressa";"Gaultheria_macrostigma";"Lepidothamnus_laxifolius";"Sorbus_aucuparia";"Tupeia_antarctica";"Alepis_flavida";"Coprosma_linariifolia";"Peraxilla_colensoi";"Peraxilla_tetrapetala";"Coriaria_plumosa";"Coprosma_depressa";"Coprosma_perpusilla";"Coprosma_pseudocuneata";"Dracophyllum_longifolium";"Tropaeolum_speciosum";"Solanum_americanum";"Acrothamnus_colensoi";"Coprosma_fowerakeri";"Coprosma_petriei";"Coriaria_sarmentosa";"Melicytus_alpinus";"Coprosma_cuneata";"Ribes_sanguineum";"Taxus_baccata";"Finschia_novaeseelandiae";"Melicytus_obovatus";"Nestor_notabilis";"Strigops_habroptila";"Astelia_nivicola";"Coprosma_serrulata";"Actinidia_arguta";"Coprosma_intertexta";"Coriaria_angustissima";"Melicytus_chathamicus"
1;4;1;122;2;2;182;5;31;63;1;3;14;5;1;3;10;2;11;6;12;11;15;11;10;7;2;2;70;1;11;107;5;11;10;26;5;1;27;8;4;7;1;1;62;1;26;37;14;7;6;26;15;4;8;2;48;2;6;1;1;19;9;85;5;26;45;1;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;0;1285;2;2;169;22;138;462;2;4;45;11;1;17;11;8;7;31;32;15;24;9;5;12;23;16;581;1;49;736;288;19;19;103;57;7;160;27;40;33;7;2;760;25;223;309;40;5;533;549;680;9;7;59;840;25;12;13;38;353;18;748;4;696;499;20;588;1;9;16;9;3;35;15;12;1;9;2;5;2;1;25;3;16;3;3;4;3;3;4;1;20;23;1;12;1;10;6;6;4;30;5;3;7;5;1;1;1;1;6;6;11;1;5;16;4;26;4;4;1;26;9;3;1;1;8;1;18;8;4;1;5;3;12;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;664;112;1;84;13;5;178;0;0;0;12;0;3;3;22;0;13;21;2;31;0;0;9;18;3;201;0;28;453;223;3;1;17;15;0;36;23;24;25;1;0;307;57;125;89;28;2;337;325;624;4;3;24;477;4;1;11;20;111;3;162;3;210;285;17;284;0;2;0;8;4;5;4;4;0;0;2;0;0;0;9;4;6;0;2;1;282;0;0;2;5;18;0;0;0;0;0;0;1;19;3;1;2;1;1;2;0;0;3;1;0;1;6;12;1;17;1;2;0;15;3;0;1;1;0;0;6;4;0;0;1;0;2;1;0;1;23;4;73;3;107;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;2;4;680;3;8;48;1;11;214;2;0;13;4;2;11;11;3;7;7;5;7;2;9;3;11;8;9;277;5;10;378;196;8;1;22;16;15;137;9;14;8;10;0;273;2;165;104;12;6;232;258;271;3;9;1;408;18;11;8;8;180;6;382;7;224;217;7;330;0;2;3;0;0;1;16;4;2;9;1;2;2;1;12;0;6;1;0;2;1;2;6;0;6;4;0;5;0;3;1;5;2;11;0;6;1;1;1;3;0;1;8;5;1;0;0;1;0;6;3;0;0;13;6;0;0;3;0;0;3;3;3;0;0;0;1;0;1;0;0;0;0;0;0;2;5;2;1;1;1;1;1;1;3;1;5;2;4;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;2;0;3489;271;1269;680;11;96;1662;16;4;2;32;3;13;22;16;1;25;36;23;30;4;6;24;51;21;1968;0;36;3755;2070;31;12;47;41;6;315;56;28;42;17;6;1885;211;1049;1140;35;8;1834;2208;4052;19;26;26;3630;49;5;22;39;1402;5;1992;13;1841;1684;79;2978;0;15;3;6;14;26;35;18;0;0;6;11;5;2;50;15;22;3;4;7;55;3;9;12;34;45;0;4;1;26;8;8;13;46;10;11;7;21;2;3;0;0;933;9;3;3;8;13;13;37;12;22;0;53;7;4;1;5;11;0;18;16;16;10;8;3;4;5;1;0;614;0;161;0;643;3;8;1;0;0;3;0;0;0;1;3;0;0;1;1;6;1;1;3;1;5;1;2;1;2;1;1;1;3;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2;0;4;0;0;5;0;1;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;404;18691;2205;3276;834;97;1874;8944;227;3;13;82;34;364;187;120;2;195;202;825;750;83;40;229;292;298;6627;24;469;10362;9165;286;124;470;263;60;556;907;197;728;112;164;13150;2334;922;3446;340;189;9386;11983;17109;175;128;211;9941;681;55;288;406;9465;15;8419;63;11205;11550;445;10404;6;163;205;121;56;222;199;91;14;1334;56;132;4;1;486;30;383;33;53;108;147;42;97;306;322;435;12;35;35;503;241;96;402;621;43;51;77;110;10;42;0;8;1324;103;14;33;110;92;42;431;147;63;0;396;113;81;9;34;16;43;155;166;151;18;129;37;61;28;15;0;2367;203;3026;34;3296;90;35;4;0;249;60;1;8;0;95;40;4;1;37;1;23;3;11;6;4;40;0;9;17;10;8;23;1861;10;12;8;4;3;5;3;1;20;18;1;1;3;3;1;1;44;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1;4;2059;293;1640;110;13;300;1079;10;3;1;15;2;20;23;8;0;11;23;15;8;14;2;15;17;19;2056;3;19;2994;987;39;33;41;34;17;244;24;13;21;14;6;2039;323;456;571;16;7;531;1528;2968;21;26;10;2836;34;6;10;18;1586;12;1082;24;2129;1251;25;2616;0;6;56;0;1;11;14;13;1;43;0;0;1;0;6;4;7;14;2;15;146;4;7;1;23;9;5;2;6;3;0;5;1;24;0;13;6;12;0;11;0;1;1266;0;1;0;9;11;6;22;5;8;0;13;16;9;0;1;1;0;4;17;17;3;0;0;2;0;3;1;297;1;51;0;220;0;5;6;0;6;2;0;0;8;6;0;12;2;13;0;2;5;0;0;1;2;0;1;0;0;0;2;0;1;2;0;0;0;1;1;0;8;0;0;0;0;0;0;0;3;0;0;0;0;0;4;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;2;77;5219;4;145;163;1;360;3691;33;2;3;30;4;35;43;6;0;11;23;27;19;4;7;43;47;61;2051;7;58;2905;3044;64;5;19;52;22;369;70;16;43;24;23;2294;7;147;2379;22;11;3760;1697;2792;6;35;8;2703;66;3;39;15;2380;1;887;0;1706;4023;26;2024;1;30;44;0;4;17;25;54;7;20;2;10;3;3;15;1;48;24;1;21;0;11;34;7;64;4;3;0;11;14;15;55;7;39;4;16;30;7;0;14;1;8;78;28;0;2;1;13;1;21;17;1;0;31;47;32;0;4;1;0;3;36;9;1;5;8;1;0;3;0;0;0;14;0;0;1;10;0;0;103;2;4;1;0;31;20;12;11;7;0;4;32;3;13;0;5;0;0;1;0;0;4;1;1;8;2;0;0;0;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;7;0;3;2;8;2;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;7;41;8614;107;515;133;12;1554;6197;30;5;5;29;0;83;34;3;0;37;29;108;95;15;1;62;59;72;3612;17;89;3627;941;98;11;54;71;25;404;149;39;103;23;29;5648;288;375;1551;46;47;1967;4969;4321;42;38;30;4918;64;4;107;96;5295;1;1927;17;3877;4536;53;5002;11;60;76;4;11;26;2;41;40;47;5;31;11;4;52;8;142;19;17;55;0;22;22;46;80;28;1;2;28;41;55;51;60;116;3;20;72;9;0;6;4;3;315;43;2;2;15;57;0;45;45;0;0;60;58;21;1;4;0;2;21;53;35;3;21;28;3;35;13;0;0;2;62;1;1;17;46;2;1;41;9;14;1;3;52;16;21;12;8;0;7;43;16;17;1;24;1;9;7;1;2;4;1;2;9;3;6;0;3;7;0;13;1;0;0;0;0;1;0;14;5;1;0;1;2;2;4;4;1;3;1;0;5;1;2;4;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
