"sp";"dispersal.category";"exponential.rate";"replicate";"dispersal.distance"
"sp23";"dk01";0,9;1;5,41010179627713
"sp01";"dk01";0,9;1;4,78056684522306
"sp14";"dk01";0,9;1;2,32933842252596
"sp18";"dk01";0,9;1;1,93130602015988
"sp03";"dk01";0,9;1;1,84017054313358
"sp11";"dk01";0,9;1;1,81229845300916
"sp20";"dk01";0,9;1;1,61165324220116
"sp27";"dk01";0,9;1;1,49505978135071
"sp29";"dk01";0,9;1;1,39853732034863
"sp04";"dk01";0,9;1;1,26843997790053
"sp06";"dk01";0,9;1;1,14934432952986
"sp07";"dk01";0,9;1;0,909301549563488
"sp08";"dk01";0,9;1;0,87378278649314
"sp10";"dk01";0,9;1;0,863533947156218
"sp12";"dk01";0,9;1;0,805658278940135
"sp13";"dk01";0,9;1;0,799510677608861
"sp15";"dk01";0,9;1;0,755078530249496
"sp17";"dk01";0,9;1;0,744409144649075
"sp19";"dk01";0,9;1;0,712826928227312
"sp24";"dk01";0,9;1;0,667417060273389
"sp26";"dk01";0,9;1;0,664809065250059
"sp28";"dk01";0,9;1;0,59557453625732
"sp02";"dk01";0,9;1;0,548542908185886
"sp05";"dk01";0,9;1;0,484756739588896
"sp09";"dk01";0,9;1;0,470879865025945
"sp16";"dk01";0,9;1;0,456669893012279
"sp21";"dk01";0,9;1;0,419151222643753
"sp22";"dk01";0,9;1;0,333982767123315
"sp25";"dk01";0,9;1;0,0441056965953774
"sp30";"dk01";0,9;1;0,00525600949509276
"sp10";"dk01";0,9;2;3,11810263334235
"sp03";"dk01";0,9;2;2,96927037531373
"sp05";"dk01";0,9;2;2,0962755588088
"sp11";"dk01";0,9;2;2,06788871427976
"sp14";"dk01";0,9;2;1,83215590184532
"sp02";"dk01";0,9;2;1,66056758149944
"sp07";"dk01";0,9;2;1,64393830000297
"sp22";"dk01";0,9;2;1,54208870181378
"sp06";"dk01";0,9;2;1,51418858513535
"sp16";"dk01";0,9;2;1,17446379731398
"sp18";"dk01";0,9;2;1,15285911153566
"sp19";"dk01";0,9;2;1,14846394826298
"sp20";"dk01";0,9;2;1,02715994549871
"sp24";"dk01";0,9;2;1,02176181242997
"sp30";"dk01";0,9;2;0,995587993159573
"sp01";"dk01";0,9;2;0,964511115785989
"sp04";"dk01";0,9;2;0,92546770965359
"sp08";"dk01";0,9;2;0,883936529104591
"sp09";"dk01";0,9;2;0,712760930570463
"sp12";"dk01";0,9;2;0,708858992697464
"sp13";"dk01";0,9;2;0,69118602902221
"sp15";"dk01";0,9;2;0,464684614136919
"sp17";"dk01";0,9;2;0,463300705369976
"sp21";"dk01";0,9;2;0,372736370190978
"sp23";"dk01";0,9;2;0,361004128200869
"sp25";"dk01";0,9;2;0,319247842869825
"sp26";"dk01";0,9;2;0,191080303759211
"sp27";"dk01";0,9;2;0,169797706831661
"sp28";"dk01";0,9;2;0,148752849652535
"sp29";"dk01";0,9;2;0,010728820020126
"sp03";"dk01";0,9;3;4,1947224795968
"sp14";"dk01";0,9;3;3,6713809637913
"sp04";"dk01";0,9;3;3,28222333232461
"sp11";"dk01";0,9;3;1,94418490851809
"sp16";"dk01";0,9;3;1,92736550682
"sp22";"dk01";0,9;3;1,87518630788329
